Longitude (deg),Latitude (deg),Eastward wind (m/s)
89,231,15.634
89,232,18.181
89,233,20.451
89,234,22.005
89,235,23.681
89,236,25.603
89,237,27.377
89,238,29.423
89,239,32.127
89,240,34.556
89,241,36.158
89,242,37.345
89,243,38.791
89,244,40.814
89,245,43.689
89,246,46.314
89,247,47.892
89,248,47.298
89,249,44.72
89,250,42.298
89,251,40.462
89,252,39.017
89,253,38.423
89,254,39.353
89,255,42.658
89,256,44.486
89,257,44.939
89,258,44.533
89,259,43.017
89,260,39.994
89,261,35.806
89,262,31.283
89,263,27.408
89,264,24.373
89,265,21.755
89,266,19.939
89,267,18.654
89,268,17.252
89,269,15.507
89,270,13.927
89,271,12.726
89,272,11.392
89,273,10.017
89,274,9.0911
89,275,8.7772
89,276,9.0376
89,277,9.1753
89,278,9.0165
89,279,9.0142
89,280,9.1592
89,281,9.4397
90,231,15.054
90,232,16.787
90,233,18.763
90,234,20.728
90,235,22.919
90,236,25.259
90,237,27.353
90,238,29.486
90,239,32.189
90,240,34.814
90,241,36.095
90,242,36.783
90,243,38.158
90,244,40.462
90,245,43.455
90,246,46.345
90,247,48.095
90,248,48.767
90,249,47.486
90,250,45.048
90,251,43.22
90,252,41.502
90,253,39.322
90,254,38.916
90,255,42.705
90,256,45.564
90,257,45.486
90,258,44.955
90,259,43.83
90,260,42.002
90,261,39.15
90,262,35.33
90,263,31.439
90,264,27.822
90,265,24.916
90,266,22.529
90,267,20.83
90,268,19.142
90,269,17.029
90,270,15.343
90,271,13.798
90,272,12.268
90,273,10.623
90,274,9.4673
90,275,8.8182
90,276,8.7075
90,277,8.8788
90,278,8.9806
90,279,9.1788
90,280,9.2525
90,281,9.7559
91,231,14.416
91,232,16.238
91,233,17.814
91,234,19.505
91,235,21.603
91,236,23.88
91,237,26.244
91,238,28.962
91,239,32.025
91,240,34.72
91,241,36.056
91,242,36.361
91,243,37.111
91,244,39.431
91,245,42.58
91,246,45.83
91,247,47.955
91,248,48.986
91,249,48.97
91,250,47.627
91,251,45.689
91,252,44.205
91,253,42.017
91,254,40.119
91,255,42.142
91,256,45.595
91,257,46.252
91,258,45.673
91,259,44.627
91,260,43.142
91,261,41.345
91,262,38.791
91,263,35.252
91,264,31.353
91,265,27.892
91,266,25.384
91,267,23.294
91,268,20.334
91,269,18.443
91,270,16.677
91,271,15.087
91,272,13.457
91,273,11.605
91,274,10.02
91,275,8.9599
91,276,8.5271
91,277,8.8632
91,278,8.9886
91,279,9.1751
91,280,9.6958
91,281,10.335
92,231,12.486
92,232,14.935
92,233,17.166
92,234,18.748
92,235,20.341
92,236,22.373
92,237,24.47
92,238,27.072
92,239,30.783
92,240,34.345
92,241,36.252
92,242,36.712
92,243,36.869
92,244,37.955
92,245,40.673
92,246,43.97
92,247,46.845
92,248,48.533
92,249,49.611
92,250,49.502
92,251,48.033
92,252,46.627
92,253,45.095
92,254,42.548
92,255,42.392
92,256,44.892
92,257,46.064
92,258,45.627
92,259,44.58
92,260,43.017
92,261,41.361
92,262,39.712
92,263,37.228
92,264,34.048
92,265,30.556
92,266,28.119
92,267,25.08
92,268,21.748
92,269,19.845
92,270,18.103
92,271,16.451
92,272,14.808
92,273,12.892
92,274,10.954
92,275,9.3619
92,276,8.5654
92,277,8.586
92,278,9.1053
92,279,9.752
92,280,10.362
92,281,11.118
93,231,10.675
93,232,12.916
93,233,15.177
93,234,17.509
93,235,19.666
93,236,21.517
93,237,23.396
93,238,25.478
93,239,28.556
93,240,32.736
93,241,36.017
93,242,37.306
93,243,37.541
93,244,37.65
93,245,38.666
93,246,41.127
93,247,44.236
93,248,46.642
93,249,48.658
93,250,50.252
93,251,50.127
93,252,48.736
93,253,47.658
93,254,45.861
93,255,43.861
93,256,44.502
93,257,45.236
93,258,44.861
93,259,44.377
93,260,44.236
93,261,43.892
93,262,42.627
93,263,40.337
93,264,37.611
93,265,34.384
93,266,31.134
93,267,27.603
93,268,24.283
93,269,21.599
93,270,19.509
93,271,17.798
93,272,16.273
93,273,14.183
93,274,11.818
93,275,9.8194
93,276,8.5555
93,277,8.3589
93,278,9.251
93,279,10.245
93,280,11.221
93,281,12.14
94,231,9.4681
94,232,11.781
94,233,13.726
94,234,15.625
94,235,18.056
94,236,20.81
94,237,22.966
94,238,24.814
94,239,27.103
94,240,30.509
94,241,34.47
94,242,37.189
94,243,38.353
94,244,38.627
94,245,38.47
94,246,39.033
94,247,41.189
94,248,43.923
94,249,46.533
94,250,48.736
94,251,50.627
94,252,50.658
94,253,49.533
94,254,48.705
94,255,47.033
94,256,45.689
94,257,45.392
94,258,45.595
94,259,46.017
94,260,46.33
94,261,46.345
94,262,45.798
94,263,44.252
94,264,41.845
94,265,38.884
94,266,35.494
94,267,31.65
94,268,27.525
94,269,24.209
94,270,21.806
94,271,19.923
94,272,18.134
94,273,15.769
94,274,12.916
94,275,10.216
94,276,8.5101
94,277,8.1541
94,278,9.0404
94,279,10.706
94,280,12.274
94,281,13.564
95,231,7.9439
95,232,10.796
95,233,13.209
95,234,14.808
95,235,16.273
95,236,18.978
95,237,22.189
95,238,24.451
95,239,26.478
95,240,29.212
95,241,32.548
95,242,35.697
95,243,37.869
95,244,39.127
95,245,39.462
95,246,39.205
95,247,39.673
95,248,41.58
95,249,44.314
95,250,47.064
95,251,49.439
95,252,50.955
95,253,50.939
95,254,50.658
95,255,50.127
95,256,48.658
95,257,47.673
95,258,47.58
95,259,47.798
95,260,48.142
95,261,48.033
95,262,47.423
95,263,46.611
95,264,44.814
95,265,42.314
95,266,39.041
95,267,35.337
95,268,31.22
95,269,27.572
95,270,24.814
95,271,22.388
95,272,20.158
95,273,17.591
95,274,14.093
95,275,10.644
95,276,8.4833
95,277,7.917
95,278,8.9192
95,279,10.913
95,280,13.222
95,281,14.974
96,231,6.5122
96,232,9.3777
96,233,12.512
96,234,14.689
96,235,15.466
96,236,17.087
96,237,20.572
96,238,23.787
96,239,25.908
96,240,28.181
96,241,31.072
96,242,33.939
96,243,36.337
96,244,38.361
96,245,39.822
96,246,40.15
96,247,39.97
96,248,40.642
96,249,42.673
96,250,45.314
96,251,47.83
96,252,50.002
96,253,51.392
96,254,51.533
96,255,51.736
96,256,51.689
96,257,50.814
96,258,50.22
96,259,50.408
96,260,50.205
96,261,49.173
96,262,48.127
96,263,47.486
96,264,46.564
96,265,44.47
96,266,41.611
96,267,38.416
96,268,34.869
96,269,31.392
96,270,28.041
96,271,24.72
96,272,22.06
96,273,19.142
96,274,15.24
96,275,11.614
