Longitude (deg),Latitude (deg),Eastward wind (m/s)
89,231,15.634
89,232,18.181
89,233,20.451
89,234,22.005
89,235,23.681
89,236,25.603
89,237,27.377
89,238,29.423
89,239,32.127
89,240,34.556
89,241,36.158
89,242,37.345
89,243,38.791
89,244,40.814
89,245,43.689
89,246,46.314
89,247,47.892
89,248,47.298
89,249,44.72
89,250,42.298
89,251,40.462
89,252,39.017
89,253,38.423
89,254,39.353
89,255,42.658
89,256,44.486
89,257,44.939
89,258,44.533
89,259,43.017
89,260,39.994
89,261,35.806
89,262,31.283
89,263,27.408
89,264,24.373
89,265,21.755
89,266,19.939
89,267,18.654
89,268,17.252
89,269,15.507
89,270,13.927
89,271,12.726
89,272,11.392
89,273,10.017
89,274,9.0911
89,275,8.7772
89,276,9.0376
89,277,9.1753
89,278,9.0165
89,279,9.0142
89,280,9.1592
89,281,9.4397
91,231,14.416
91,232,16.238
91,233,17.814
91,234,19.505
91,235,21.603
91,236,23.88
91,237,26.244
91,238,28.962
91,239,32.025
91,240,34.72
91,241,36.056
91,242,36.361
91,243,37.111
91,244,39.431
91,245,42.58
91,246,45.83
91,247,47.955
91,248,48.986
91,249,48.97
91,250,47.627
91,251,45.689
91,252,44.205
91,253,42.017
91,254,40.119
91,255,42.142
91,256,45.595
91,257,46.252
91,258,45.673
91,259,44.627
91,260,43.142
91,261,41.345
91,262,38.791
91,263,35.252
91,264,31.353
91,265,27.892
91,266,25.384
91,267,23.294
91,268,20.334
91,269,18.443
91,270,16.677
91,271,15.087
91,272,13.457
91,273,11.605
91,274,10.02
91,275,8.9599
91,276,8.5271
91,277,8.8632
91,278,8.9886
91,279,9.1751
91,280,9.6958
91,281,10.335
93,231,10.675
93,232,12.916
93,233,15.177
93,234,17.509
93,235,19.666
93,236,21.517
93,237,23.396
93,238,25.478
93,239,28.556
93,240,32.736
93,241,36.017
93,242,37.306
93,243,37.541
93,244,37.65
93,245,38.666
93,246,41.127
93,247,44.236
93,248,46.642
93,249,48.658
93,250,50.252
93,251,50.127
93,252,48.736
93,253,47.658
93,254,45.861
93,255,43.861
93,256,44.502
93,257,45.236
93,258,44.861
93,259,44.377
93,260,44.236
93,261,43.892
93,262,42.627
93,263,40.337
93,264,37.611
93,265,34.384
93,266,31.134
93,267,27.603
93,268,24.283
93,269,21.599
93,270,19.509
93,271,17.798
93,272,16.273
93,273,14.183
93,274,11.818
93,275,9.8194
93,276,8.5555
93,277,8.3589
93,278,9.251
93,279,10.245
93,280,11.221
93,281,12.14
98,231,4.9517
98,232,7.3418
98,233,10.058
98,234,12.822
98,235,14.609
98,236,15.259
98,237,17.017
98,238,20.794
98,239,24.314
98,240,26.658
98,241,28.697
98,242,31.087
98,243,33.509
98,244,35.533
98,245,37.533
98,246,39.658
98,247,41.205
98,248,41.892
98,249,42.548
98,250,43.783
98,251,45.439
98,252,47.486
98,253,49.798
98,254,52.377
98,255,54.548
98,256,55.97
98,257,56.252
98,258,54.377
98,259,52.283
98,260,50.58
98,261,49.814
98,262,49.423
98,263,48.752
98,264,47.955
98,265,46.627
98,266,44.642
98,267,42.564
98,268,40.158
98,269,37.619
98,270,33.908
98,271,30.205
98,272,25.97
98,273,21.544
98,274,16.959
98,275,12.998
98,276,10.57
98,277,9.6246
98,278,10.532
98,279,12.669
98,280,15.365
98,281,18.451
107,231,-3.4047
107,232,0.26323
107,233,2.898
107,234,4.5054
107,235,5.7925
107,236,7.1817
107,237,9.0478
107,238,11.708
107,239,14.835
107,240,17.623
107,241,19.83
107,242,21.959
107,243,24.181
107,244,26.025
107,245,27.58
107,246,29.423
107,247,31.923
107,248,34.744
107,249,37.587
107,250,40.119
107,251,42.189
107,252,43.767
107,253,45.205
107,254,46.955
107,255,48.83
107,256,50.33
107,257,51.361
107,258,52.064
107,259,53.017
107,260,54.158
107,261,55.439
107,262,56.752
107,263,57.205
107,264,56.72
107,265,55.923
107,266,56.111
107,267,56.47
107,268,55.423
107,269,52.111
107,270,47.798
107,271,43.533
107,272,39.681
107,273,36.15
107,274,33.369
107,275,31.033
107,276,29.681
107,277,30.087
107,278,31.384
107,279,32.439
107,280,32.494
107,281,32.9
109,231,-5.6899
109,232,-2.8188
109,233,0.52104
109,234,3.0152
109,235,4.5445
109,236,5.979
109,237,7.7481
109,238,10.067
109,239,12.939
109,240,16.191
109,241,19.435
109,242,22.119
109,243,24.181
109,244,26.095
109,245,27.892
109,246,29.369
109,247,30.806
109,248,32.783
109,249,35.47
109,250,38.127
109,251,40.392
109,252,42.298
109,253,44.064
109,254,45.845
109,255,47.798
109,256,49.783
109,257,51.642
109,258,53.017
109,259,54.314
109,260,55.908
109,261,57.408
109,262,58.361
109,263,58.986
109,264,59.08
109,265,58.548
109,266,57.955
109,267,57.814
109,268,56.97
109,269,54.861
109,270,51.658
109,271,48.127
109,272,44.033
109,273,40.752
109,274,38.548
109,275,36.9
109,276,35.767
109,277,35.681
109,278,36.767
109,279,37.158
109,280,36.502
109,281,36.205
111,231,-6.6157
111,232,-4.5532
111,233,-2.0063
111,234,0.54448
111,235,2.646
111,236,4.314
111,237,6.2867
111,238,8.85
111,239,11.717
111,240,14.845
111,241,18.318
111,242,21.806
111,243,24.736
111,244,26.791
111,245,28.244
111,246,29.517
111,247,30.814
111,248,32.384
111,249,34.369
111,250,36.65
111,251,39.158
111,252,41.439
111,253,43.486
111,254,45.173
111,255,47.127
111,256,49.252
111,257,51.158
111,258,53.095
111,259,54.986
111,260,56.33
111,261,57.548
111,262,58.783
111,263,59.689
111,264,59.908
111,265,59.861
111,266,59.564
111,267,59.08
111,268,58.377
111,269,57.002
111,270,54.673
111,271,51.892
111,272,48.189
111,273,45.611
111,274,43.908
111,275,42.814
111,276,41.673
111,277,41.048
111,278,41.642
111,279,41.33
111,280,39.712
111,281,38.767
120,231,-3.0258
120,232,-0.58052
120,233,1.5777
120,234,3.4917
120,235,4.9097
120,236,5.7828
120,237,6.6539
120,238,8.0459
120,239,10.122
120,240,12.662
120,241,15.443
120,242,18.197
120,243,20.49
120,244,22.236
120,245,23.732
120,246,25.275
120,247,27.197
120,248,29.627
120,249,32.103
120,250,34.392
120,251,36.619
120,252,38.689
120,253,40.689
120,254,42.533
120,255,43.892
120,256,44.767
120,257,45.595
120,258,46.877
120,259,47.955
120,260,48.908
120,261,49.986
120,262,50.314
120,263,50.439
120,264,51.017
120,265,51.877
120,266,52.939
120,267,54.455
120,268,55.486
120,269,56.408
120,270,57.189
120,271,57.423
120,272,57.111
120,273,56.955
