Longitude (deg),Latitude (deg),Eastward wind (m/s)
90,231,15.054
90,232,16.787
90,233,18.763
90,234,20.728
90,235,22.919
90,236,25.259
90,237,27.353
90,238,29.486
90,239,32.189
90,240,34.814
90,241,36.095
90,242,36.783
90,243,38.158
90,244,40.462
90,245,43.455
90,246,46.345
90,247,48.095
90,248,48.767
90,249,47.486
90,250,45.048
90,251,43.22
90,252,41.502
90,253,39.322
90,254,38.916
90,255,42.705
90,256,45.564
90,257,45.486
90,258,44.955
90,259,43.83
90,260,42.002
90,261,39.15
90,262,35.33
90,263,31.439
90,264,27.822
90,265,24.916
90,266,22.529
90,267,20.83
90,268,19.142
90,269,17.029
90,270,15.343
90,271,13.798
90,272,12.268
90,273,10.623
90,274,9.4673
90,275,8.8182
90,276,8.7075
90,277,8.8788
90,278,8.9806
90,279,9.1788
90,280,9.2525
90,281,9.7559
94,231,9.4681
94,232,11.781
94,233,13.726
94,234,15.625
94,235,18.056
94,236,20.81
94,237,22.966
94,238,24.814
94,239,27.103
94,240,30.509
94,241,34.47
94,242,37.189
94,243,38.353
94,244,38.627
94,245,38.47
94,246,39.033
94,247,41.189
94,248,43.923
94,249,46.533
94,250,48.736
94,251,50.627
94,252,50.658
94,253,49.533
94,254,48.705
94,255,47.033
94,256,45.689
94,257,45.392
94,258,45.595
94,259,46.017
94,260,46.33
94,261,46.345
94,262,45.798
94,263,44.252
94,264,41.845
94,265,38.884
94,266,35.494
94,267,31.65
94,268,27.525
94,269,24.209
94,270,21.806
94,271,19.923
94,272,18.134
94,273,15.769
94,274,12.916
94,275,10.216
94,276,8.5101
94,277,8.1541
94,278,9.0404
94,279,10.706
94,280,12.274
94,281,13.564
95,231,7.9439
95,232,10.796
95,233,13.209
95,234,14.808
95,235,16.273
95,236,18.978
95,237,22.189
95,238,24.451
95,239,26.478
95,240,29.212
95,241,32.548
95,242,35.697
95,243,37.869
95,244,39.127
95,245,39.462
95,246,39.205
95,247,39.673
95,248,41.58
95,249,44.314
95,250,47.064
95,251,49.439
95,252,50.955
95,253,50.939
95,254,50.658
95,255,50.127
95,256,48.658
95,257,47.673
95,258,47.58
95,259,47.798
95,260,48.142
95,261,48.033
95,262,47.423
95,263,46.611
95,264,44.814
95,265,42.314
95,266,39.041
95,267,35.337
95,268,31.22
95,269,27.572
95,270,24.814
95,271,22.388
95,272,20.158
95,273,17.591
95,274,14.093
95,275,10.644
95,276,8.4833
95,277,7.917
95,278,8.9192
95,279,10.913
95,280,13.222
95,281,14.974
96,231,6.5122
96,232,9.3777
96,233,12.512
96,234,14.689
96,235,15.466
96,236,17.087
96,237,20.572
96,238,23.787
96,239,25.908
96,240,28.181
