Longitude (deg),Latitude (deg),Eastward wind (m/s)
92,231,12.486
92,232,14.935
92,233,17.166
92,234,18.748
92,235,20.341
92,236,22.373
92,237,24.47
92,238,27.072
92,239,30.783
92,240,34.345
92,241,36.252
92,242,36.712
92,243,36.869
92,244,37.955
92,245,40.673
92,246,43.97
92,247,46.845
92,248,48.533
92,249,49.611
92,250,49.502
92,251,48.033
92,252,46.627
92,253,45.095
92,254,42.548
92,255,42.392
92,256,44.892
92,257,46.064
92,258,45.627
92,259,44.58
92,260,43.017
92,261,41.361
92,262,39.712
92,263,37.228
92,264,34.048
92,265,30.556
92,266,28.119
92,267,25.08
92,268,21.748
92,269,19.845
92,270,18.103
92,271,16.451
92,272,14.808
92,273,12.892
92,274,10.954
92,275,9.3619
92,276,8.5654
92,277,8.586
92,278,9.1053
92,279,9.752
92,280,10.362
92,281,11.118
99,231,4.0953
99,232,6.4312
99,233,8.9062
99,234,11.559
99,235,13.822
99,236,15.138
99,237,16.273
99,238,18.834
99,239,22.548
99,240,25.681
99,241,27.947
99,242,30.142
99,243,32.455
99,244,34.595
99,245,36.533
99,246,38.603
99,247,40.627
99,248,42.095
99,249,42.955
99,250,43.892
99,251,45.017
99,252,46.72
99,253,49.252
99,254,51.83
99,255,54.127
99,256,54.33
99,257,52.455
99,258,51.798
99,259,52.517
99,260,52.283
99,261,51.189
99,262,50.127
99,263,49.189
99,264,48.673
99,265,48.283
99,266,46.923
99,267,44.877
99,268,42.783
99,269,40.509
99,270,37.525
99,271,33.259
99,272,27.9
99,273,23.037
99,274,17.931
99,275,13.865
99,276,11.063
99,277,10.077
99,278,11.775
99,279,14.103
99,280,16.642
99,281,19.552
100,233,7.7886
100,234,10.442
100,235,12.914
100,236,14.73
100,237,16.08
100,238,17.798
100,239,20.474
100,240,23.658
100,241,26.462
100,242,28.923
100,243,31.416
100,244,33.752
100,245,35.752
100,246,37.658
100,247,39.712
100,248,41.673
100,249,43.33
100,250,44.517
100,251,45.439
100,252,46.533
100,253,48.002
100,254,49.752
